HDR,ROLLING SYSTEM DEMAND
VD,20220301000000,27819
VD,20220301000500,27792
VD,20220301001000,27763
VD,20220301001500,27709
VD,20220301002000,27698
VD,20220301002500,27690
VD,20220301003000,27704
VD,20220301003500,28170
VD,20220301004000,28341
VD,20220301004500,28513
VD,20220301005000,28518
VD,20220301005500,28439
VD,20220301010000,28186
VD,20220301010500,28118
VD,20220301011000,28082
VD,20220301011500,27963
VD,20220301012000,27809
VD,20220301012500,27603
VD,20220301013000,27490
VD,20220301013500,27433
VD,20220301014000,27381
VD,20220301014500,27320
VD,20220301015000,27330
VD,20220301015500,27312
VD,20220301020000,27168
VD,20220301020500,27341
VD,20220301021000,27305
VD,20220301021500,27335
VD,20220301022000,27300
VD,20220301022500,27169
VD,20220301023000,27141
VD,20220301023500,27074
VD,20220301024000,26964
VD,20220301024500,26881
VD,20220301025000,26821
VD,20220301025500,26789
VD,20220301030000,26760
VD,20220301030500,26656
VD,20220301031000,26553
VD,20220301031500,26540
VD,20220301032000,26463
VD,20220301032500,26415
VD,20220301033000,26407
VD,20220301033500,26384
VD,20220301034000,26374
VD,20220301034500,26342
VD,20220301035000,26302
VD,20220301035500,26246
VD,20220301040000,26219
VD,20220301040500,26102
VD,20220301041000,26389
VD,20220301041500,26362
VD,20220301042000,26336
VD,20220301042500,26334
VD,20220301043000,26323
VD,20220301043500,26385
VD,20220301044000,26396
VD,20220301044500,26353
VD,20220301045000,26283
VD,20220301045500,26235
VD,20220301050000,26347
VD,20220301050500,26920
VD,20220301051000,27462
VD,20220301051500,27493
VD,20220301052000,27567
VD,20220301052500,27536
VD,20220301053000,27588
VD,20220301053500,27741
VD,20220301054000,27979
VD,20220301054500,28141
VD,20220301055000,28218
VD,20220301055500,28634
VD,20220301060000,28867
VD,20220301060500,29444
VD,20220301061000,29848
VD,20220301061500,30299
VD,20220301062000,30741
VD,20220301062500,31216
VD,20220301063000,31730
VD,20220301063500,32304
VD,20220301064000,32664
VD,20220301064500,32972
VD,20220301065000,33366
VD,20220301065500,33704
VD,20220301070000,34119
VD,20220301070500,34523
VD,20220301071000,34912
VD,20220301071500,35344
VD,20220301072000,35705
VD,20220301072500,36035
VD,20220301073000,36176
VD,20220301073500,36065
VD,20220301074000,36336
VD,20220301074500,36481
VD,20220301075000,36536
VD,20220301075500,36691
VD,20220301080000,36575
VD,20220301080500,37132
VD,20220301081000,37286
VD,20220301081500,37485
VD,20220301082000,37490
VD,20220301082500,37353
VD,20220301083000,37400
VD,20220301083500,37391
VD,20220301084000,37362
VD,20220301084500,37246
VD,20220301085000,37340
VD,20220301085500,37522
VD,20220301090000,37917
VD,20220301090500,37890
VD,20220301091000,37807
VD,20220301091500,37814
VD,20220301092000,37843
VD,20220301092500,37839
VD,20220301093000,37852
VD,20220301093500,37913
VD,20220301094000,37907
VD,20220301094500,37927
VD,20220301095000,37998
VD,20220301095500,37961
VD,20220301100000,37778
VD,20220301100500,37837
VD,20220301101000,37830
VD,20220301101500,37795
VD,20220301102000,37884
VD,20220301102500,37959
VD,20220301103000,37942
VD,20220301103500,37977
VD,20220301104000,38004
VD,20220301104500,38082
VD,20220301105000,38187
