areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
nation,England,E92000001,2022-03-23,3959,44359520
nation,England,E92000001,2022-03-22,3080,44355561
nation,England,E92000001,2022-03-21,2925,44352481
nation,England,E92000001,2022-03-20,2792,44349556
nation,England,E92000001,2022-03-19,6006,44346764
nation,England,E92000001,2022-03-18,3517,44340758
nation,England,E92000001,2022-03-17,3358,44337241
nation,England,E92000001,2022-03-16,3653,44333883
nation,England,E92000001,2022-03-15,3820,44330230
nation,England,E92000001,2022-03-14,3030,44326410
nation,England,E92000001,2022-03-13,3396,44323380
nation,England,E92000001,2022-03-12,7487,44319984
nation,England,E92000001,2022-03-11,4084,44312497
nation,England,E92000001,2022-03-10,4116,44308413
nation,England,E92000001,2022-03-09,4552,44304297
nation,England,E92000001,2022-03-08,3914,44299745
nation,England,E92000001,2022-03-07,3966,44295831
nation,England,E92000001,2022-03-06,3378,44291865
nation,England,E92000001,2022-03-05,7383,44288487
nation,England,E92000001,2022-03-04,5755,44281104
nation,England,E92000001,2022-03-03,5760,44275349
nation,England,E92000001,2022-03-02,6756,44269589
nation,England,E92000001,2022-03-01,5166,44262833
nation,England,E92000001,2022-02-28,5095,44257667
nation,England,E92000001,2022-02-27,3879,44252572
nation,England,E92000001,2022-02-26,8259,44248693
nation,England,E92000001,2022-02-25,7068,44240434
nation,England,E92000001,2022-02-24,7066,44233366
nation,England,E92000001,2022-02-23,8063,44226300
nation,England,E92000001,2022-02-22,7503,44218237
nation,England,E92000001,2022-02-21,6376,44210734
nation,England,E92000001,2022-02-20,4371,44204358
nation,England,E92000001,2022-02-19,9637,44199987
nation,England,E92000001,2022-02-18,5160,44190350
nation,England,E92000001,2022-02-17,8110,44185190
nation,England,E92000001,2022-02-16,9896,44177080
nation,England,E92000001,2022-02-15,8127,44167184
nation,England,E92000001,2022-02-14,7095,44159057
nation,England,E92000001,2022-02-13,5847,44151962
nation,England,E92000001,2022-02-12,13647,44146115
nation,England,E92000001,2022-02-11,9858,44132468
nation,England,E92000001,2022-02-10,9989,44122610
nation,England,E92000001,2022-02-09,10207,44112621
nation,England,E92000001,2022-02-08,9731,44102414
nation,England,E92000001,2022-02-07,8920,44092683
nation,England,E92000001,2022-02-06,6030,44083763
nation,England,E92000001,2022-02-05,11946,44077733
nation,England,E92000001,2022-02-04,13583,44065787
nation,England,E92000001,2022-02-03,11780,44052204
nation,England,E92000001,2022-02-02,11084,44040424
nation,England,E92000001,2022-02-01,11152,44029340
nation,England,E92000001,2022-01-31,10282,44018188
nation,England,E92000001,2022-01-30,10058,44007906
nation,England,E92000001,2022-01-29,16477,43997848
nation,England,E92000001,2022-01-28,15185,43981371
nation,England,E92000001,2022-01-27,13989,43966186
nation,England,E92000001,2022-01-26,13789,43952197
nation,England,E92000001,2022-01-25,12356,43938408
nation,England,E92000001,2022-01-24,14931,43926052
nation,England,E92000001,2022-01-23,10514,43911121
nation,England,E92000001,2022-01-22,18308,43900607
nation,England,E92000001,2022-01-21,16025,43882299
nation,England,E92000001,2022-01-20,15285,43866274
nation,England,E92000001,2022-01-19,15408,43850989
nation,England,E92000001,2022-01-18,16010,43835581
nation,England,E92000001,2022-01-17,13819,43819571
nation,England,E92000001,2022-01-16,15345,43805752
nation,England,E92000001,2022-01-15,25451,43790407
nation,England,E92000001,2022-01-14,18405,43764956
nation,England,E92000001,2022-01-13,18101,43746551
nation,England,E92000001,2022-01-12,17112,43728450
nation,England,E92000001,2022-01-11,16827,43711338
nation,England,E92000001,2022-01-10,15755,43694511
nation,England,E92000001,2022-01-09,19373,43678756
nation,England,E92000001,2022-01-08,29231,43659383
nation,England,E92000001,2022-01-07,20352,43630152
nation,England,E92000001,2022-01-06,20102,43609800
nation,England,E92000001,2022-01-05,22233,43589698
nation,England,E92000001,2022-01-04,22307,43567465
nation,England,E92000001,2022-01-03,17260,43545158
nation,England,E92000001,2022-01-02,11797,43527898
nation,England,E92000001,2022-01-01,2203,43516101
nation,England,E92000001,2021-12-31,14380,43513898
nation,England,E92000001,2021-12-30,30432,43499518
nation,England,E92000001,2021-12-29,30008,43469086
nation,England,E92000001,2021-12-28,21549,43439078
nation,England,E92000001,2021-12-27,15766,43417529
nation,England,E92000001,2021-12-26,1809,43401763
nation,England,E92000001,2021-12-25,955,43399954
nation,England,E92000001,2021-12-24,10452,43398999
nation,England,E92000001,2021-12-23,29980,43388547
nation,England,E92000001,2021-12-22,35657,43358567
nation,England,E92000001,2021-12-21,36309,43322910
nation,England,E92000001,2021-12-20,36092,43286601
nation,England,E92000001,2021-12-19,30298,43250509
nation,England,E92000001,2021-12-18,35141,43220211
nation,England,E92000001,2021-12-17,29563,43185070
nation,England,E92000001,2021-12-16,29554,43155507
nation,England,E92000001,2021-12-15,24607,43125953
nation,England,E92000001,2021-12-14,30807,43101346
nation,England,E92000001,2021-12-13,19270,43070539
nation,England,E92000001,2021-12-12,19197,43051269
nation,England,E92000001,2021-12-11,23546,43032072
nation,England,E92000001,2021-12-10,19343,43008526
nation,England,E92000001,2021-12-09,20751,42989183
nation,England,E92000001,2021-12-08,18337,42968432
nation,England,E92000001,2021-12-07,19228,42950095
nation,England,E92000001,2021-12-06,17537,42930867
nation,England,E92000001,2021-12-05,16008,42913330
nation,England,E92000001,2021-12-04,24789,42897322
nation,England,E92000001,2021-12-03,20806,42872533
